What was the activity about?,"Overall, what is your level of satisfaction after attending this activity?",The activity was engaging,"I felt comfortable asking questions during the activity (i.e., enough time, clear responses, etc.)",The activity provided me with information/resources that I can apply to my job search process.,What is the one most valuable thing you have learned during this activity (knowledge or skill) that you anticipate implementing in your job search/career journey?,What recommendations would you suggest for improving the activity overall?,Do you have any other comments that you would like to share?
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,,,
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,network,,It was great helpful and supportive session. People are really helpful and they give strong advices and feedback. I hope I met with you. Thank you so much.
5-Day Sector Specific Training,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Digital Resume ,Job fair for specific sector ,
5-Day Sector Specific Training,Satisfied,Agree,Strongly agree,Strongly agree,Networking especially using LinkedIn.  ,Give a more detailed session on LinkedIn ,
5-Day Sector Specific Training,Satisfied,Agree,Strongly agree,Strongly agree,- Amazing support from the counselor! very helpful to keep confidence when applying to jobs/going to interviews  - Importance of Networking in Canada  - Tailoring CVs to make it easy for HR to read how my experience fits the vacancy they are recruiting for  ,Make the theoretical part shorter and the practical part longer. Make the sessions more interactive.,"It is very important to set the expectations of the participants in the information session, prior to subscribing to the search."
5-Day Sector Specific Training,Satisfied,Strongly agree,Strongly agree,Strongly agree,All parts were really valuable and informative and learned a lot.,It was awesome ,Please provide me with a certificate of attendance for the five days so that I may update my resume appropriately it will help me somewhat. I'd love it if you could stay in touch and advise us of any upcoming sessions.
Targeted Recruitment Event,Satisfied,Agree,Strongly agree,Agree,That a cover letter is a must for world skills for a recruitment process.,,I am interested in targeted recruiting events with different hospitals in Ottawa thank you
5-Day Sector Specific Training,Satisfied,Strongly agree,Strongly agree,Strongly agree,the importance of networking each session was full of learnings.  the session with external experts were really valuabe.,"Shin the size of sessions as it it last almost the whole day. From 9 to 12 or 1 m is q god becquse it frees the afternoon to job search, network...",Thank you very much to the team for facilitating these workshops. Your advices and limitless suppport are really great. 
Employer Coaching Session,Very satisfied,Strongly agree,Strongly agree,Strongly agree,"I leart how to answer the question ""introduce yourself"" in a methodic manner",it was great nothing to improve,the coaches were really engaged and committed to ask our question in the most complete way.
Employer Coaching Session,Satisfied,Strongly agree,Strongly agree,Strongly agree,The networking and familrize with recruiters.,Today and the 5-day sector specific training cohort were awesome.,Thank you so much this session was really wonderful
